id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1046,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1047,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1048,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1049,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1050,"Kada Agrahara ,Bangalore",2,1050,0.75
1051,"Mattanahalli,Bangalore",3,1450,0.79
1052,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1053,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1054,"Hemmigepura,Bangalore",3,1500,1.3
1055,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1056,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1057,"Mavalli,Bangalore",10,8000,5.5
1058,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1059,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1060,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1061,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1062,"Harapanahalli,Bangalore",4,6000,3.1
1063,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1064,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1065,"Cheemasandra,Bangalore",3,920,0.8
1066,"Yadavanahalli,Bangalore",8,4800,1.1
1067,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1068,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1069,"Margondanahalli,Bangalore",2,1000,1.2
1070,"Hancharahalli Village,Bangalore",3,1900,1.1
1071,"Mattanahalli,Bangalore",3,1450,0.79
1072,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1073,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1074,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
