id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
3143,"Kattigenahalli,Bangalore",2,3000,1.08
3144,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3145,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3146,"Yelahanka,Bangalore",5,4000,6.6
3147,"Kada Agrahara ,Bangalore",2,1050,0.75
3148,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3149,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3150,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3151,"Mattanahalli,Bangalore",3,1450,0.79
3152,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3153,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3154,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3155,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3156,"Mavalli,Bangalore",10,8000,5.5
3157,"Harapanahalli,Bangalore",4,6000,3.1
3158,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3159,"Yadavanahalli,Bangalore",8,4800,1.1
3160,"Hemmigepura,Bangalore",3,1500,1.3
3161,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3162,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3163,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3164,"Cheemasandra,Bangalore",3,920,0.8
3165,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3166,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3167,"Kada Agrahara ,Bangalore",2,1050,0.75
3168,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3169,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3170,"Yelahanka,Bangalore",5,4000,6.6
3171,"Kattigenahalli,Bangalore",2,3000,1.08
3172,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3173,"Rajajinagar,Bangalore",7,5000,4.3
3174,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3175,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3176,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3177,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3178,"Margondanahalli,Bangalore",2,1000,1.2
3179,"Hancharahalli Village,Bangalore",3,1900,1.1
3180,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3181,"Mattanahalli,Bangalore",3,1450,0.79
3182,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3183,"Mavalli,Bangalore",10,8000,5.5
3184,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3185,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3186,"Harapanahalli,Bangalore",4,6000,3.1
3187,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3188,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3189,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3190,"Hemmigepura,Bangalore",3,1500,1.3
3191,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3192,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3193,"Yadavanahalli,Bangalore",8,4800,1.1
3194,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3195,"Cheemasandra,Bangalore",3,920,0.8
3196,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3197,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3198,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3199,"Hancharahalli Village,Bangalore",3,1900,1.1
3200,"Rajajinagar,Bangalore",7,5000,4.3
3201,"Mattanahalli,Bangalore",3,1450,0.79
3202,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3203,"Harapanahalli,Bangalore",4,6000,3.1
3204,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3205,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3206,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3207,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3208,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3209,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3210,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3211,"Mavalli,Bangalore",10,8000,5.5
3212,"Hemmigepura,Bangalore",3,1500,1.3
3213,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3214,"Yadavanahalli,Bangalore",8,4800,1.1
3215,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3216,"Cheemasandra,Bangalore",3,920,0.8
3217,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3218,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3219,"Margondanahalli,Bangalore",2,1000,1.2
3220,"Hancharahalli Village,Bangalore",3,1900,1.1
3221,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3222,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3223,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3224,"Yelahanka,Bangalore",5,4000,6.6
3225,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3226,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3227,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3228,"Rajajinagar,Bangalore",7,5000,4.3
3229,"Kada Agrahara ,Bangalore",2,1050,0.75
3230,"Kattigenahalli,Bangalore",2,3000,1.08
3231,"Mattanahalli,Bangalore",3,1450,0.79
3232,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3233,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3234,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3235,"Yadavanahalli,Bangalore",8,4800,1.1
3236,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3237,"Cheemasandra,Bangalore",3,920,0.8
3238,"Hemmigepura,Bangalore",3,1500,1.3
3239,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3240,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3241,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3242,"Harapanahalli,Bangalore",4,6000,3.1
3243,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3244,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3245,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3246,"Mavalli,Bangalore",10,8000,5.5
3247,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3248,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3249,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3250,"Kada Agrahara ,Bangalore",2,1050,0.75
3251,"Mattanahalli,Bangalore",3,1450,0.79
3252,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3253,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3254,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3255,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3256,"Mavalli,Bangalore",10,8000,5.5
3257,"Harapanahalli,Bangalore",4,6000,3.1
3258,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3259,"Yadavanahalli,Bangalore",8,4800,1.1
3260,"Hemmigepura,Bangalore",3,1500,1.3
3261,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3262,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3263,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3264,"Cheemasandra,Bangalore",3,920,0.8
3265,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3266,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3267,"Kada Agrahara ,Bangalore",2,1050,0.75
3268,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3269,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3270,"Yelahanka,Bangalore",5,4000,6.6
3271,"Mattanahalli,Bangalore",3,1450,0.79
3272,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3273,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3274,"Hemmigepura,Bangalore",3,1500,1.3
3275,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3276,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3277,"Mavalli,Bangalore",10,8000,5.5
3278,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3279,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3280,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3281,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3282,"Harapanahalli,Bangalore",4,6000,3.1
3283,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3284,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3285,"Cheemasandra,Bangalore",3,920,0.8
3286,"Yadavanahalli,Bangalore",8,4800,1.1
3287,"Kada Agrahara ,Bangalore",2,1050,0.75
3288,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3289,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3290,"Yelahanka,Bangalore",5,4000,6.6
3291,"Mattanahalli,Bangalore",3,1450,0.79
3292,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3293,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3294,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3295,"Yadavanahalli,Bangalore",8,4800,1.1
3296,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3297,"Cheemasandra,Bangalore",3,920,0.8
3298,"Hemmigepura,Bangalore",3,1500,1.3
3299,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3300,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3301,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3302,"Harapanahalli,Bangalore",4,6000,3.1
3303,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3304,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3305,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3306,"Mavalli,Bangalore",10,8000,5.5
3307,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3308,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3309,"Margondanahalli,Bangalore",2,1000,1.2
3310,"Hancharahalli Village,Bangalore",3,1900,1.1
3311,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3312,"Kada Agrahara ,Bangalore",2,1050,0.75
3313,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3314,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3315,"Kattigenahalli,Bangalore",2,3000,1.08
3316,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3317,"Rajajinagar,Bangalore",7,5000,4.3
3318,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3319,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3320,"Yelahanka,Bangalore",5,4000,6.6
3321,"Mattanahalli,Bangalore",3,1450,0.79
3322,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3323,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3324,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3325,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3326,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3327,"Hemmigepura,Bangalore",3,1500,1.3
3328,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3329,"Mavalli,Bangalore",10,8000,5.5
3330,"Harapanahalli,Bangalore",4,6000,3.1
3331,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3332,"Cheemasandra,Bangalore",3,920,0.8
3333,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3334,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3335,"Yadavanahalli,Bangalore",8,4800,1.1
3336,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3337,"Margondanahalli,Bangalore",2,1000,1.2
3338,"Hancharahalli Village,Bangalore",3,1900,1.1
3339,"Rajajinagar,Bangalore",7,5000,4.3
3340,"Kattigenahalli,Bangalore",2,3000,1.08
3341,"Mattanahalli,Bangalore",3,1450,0.79
3342,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3343,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3344,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3345,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3346,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3347,"Hemmigepura,Bangalore",3,1500,1.3
3348,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3349,"Mavalli,Bangalore",10,8000,5.5
3350,"Harapanahalli,Bangalore",4,6000,3.1
3351,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3352,"Cheemasandra,Bangalore",3,920,0.8
3353,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3354,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3355,"Yadavanahalli,Bangalore",8,4800,1.1
3356,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3357,"Margondanahalli,Bangalore",2,1000,1.2
3358,"Hancharahalli Village,Bangalore",3,1900,1.1
3359,"Rajajinagar,Bangalore",7,5000,4.3
3360,"Kattigenahalli,Bangalore",2,3000,1.08
3361,"Mattanahalli,Bangalore",3,1450,0.79
3362,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3363,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3364,"Yadavanahalli,Bangalore",8,4800,1.1
3365,"Harapanahalli,Bangalore",4,6000,3.1
3366,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3367,"Cheemasandra,Bangalore",3,920,0.8
3368,"Hemmigepura,Bangalore",3,1500,1.3
3369,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3370,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3371,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3372,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3373,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3374,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3375,"Mavalli,Bangalore",10,8000,5.5
3376,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3377,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3378,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3379,"Margondanahalli,Bangalore",2,1000,1.2
3380,"Hancharahalli Village,Bangalore",3,1900,1.1
3381,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3382,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3383,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3384,"Yelahanka,Bangalore",5,4000,6.6
3385,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3386,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3387,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3388,"Rajajinagar,Bangalore",7,5000,4.3
3389,"Kada Agrahara ,Bangalore",2,1050,0.75
3390,"Kattigenahalli,Bangalore",2,3000,1.08
3391,"Mattanahalli,Bangalore",3,1450,0.79
3392,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3393,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3394,"Hemmigepura,Bangalore",3,1500,1.3
3395,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3396,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3397,"Mavalli,Bangalore",10,8000,5.5
3398,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3399,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3400,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3401,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3402,"Harapanahalli,Bangalore",4,6000,3.1
3403,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3404,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3405,"Cheemasandra,Bangalore",3,920,0.8
3406,"Yadavanahalli,Bangalore",8,4800,1.1
3407,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3408,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3409,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3410,"Kada Agrahara ,Bangalore",2,1050,0.75
3411,"Mattanahalli,Bangalore",3,1450,0.79
3412,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3413,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3414,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3415,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3416,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3417,"Hemmigepura,Bangalore",3,1500,1.3
3418,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3419,"Mavalli,Bangalore",10,8000,5.5
3420,"Harapanahalli,Bangalore",4,6000,3.1
3421,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3422,"Cheemasandra,Bangalore",3,920,0.8
3423,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3424,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3425,"Yadavanahalli,Bangalore",8,4800,1.1
3426,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3427,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3428,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3429,"Margondanahalli,Bangalore",2,1000,1.2
3430,"Hancharahalli Village,Bangalore",3,1900,1.1
3431,"Mattanahalli,Bangalore",3,1450,0.79
3432,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3433,"Hemmigepura,Bangalore",3,1500,1.3
3434,"Mavalli,Bangalore",10,8000,5.5
3435,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3436,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3437,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3438,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3439,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3440,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3441,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3442,"Harapanahalli,Bangalore",4,6000,3.1
3443,"Yadavanahalli,Bangalore",8,4800,1.1
3444,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3445,"Cheemasandra,Bangalore",3,920,0.8
3446,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3447,"Kada Agrahara ,Bangalore",2,1050,0.75
3448,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3449,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3450,"Yelahanka,Bangalore",5,4000,6.6
3451,"Kattigenahalli,Bangalore",2,3000,1.08
3452,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3453,"Rajajinagar,Bangalore",7,5000,4.3
3454,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3455,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3456,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3457,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3458,"Margondanahalli,Bangalore",2,1000,1.2
3459,"Hancharahalli Village,Bangalore",3,1900,1.1
3460,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3461,"Mattanahalli,Bangalore",3,1450,0.79
3462,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3463,"Mavalli,Bangalore",10,8000,5.5
3464,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3465,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3466,"Harapanahalli,Bangalore",4,6000,3.1
3467,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3468,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3469,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3470,"Hemmigepura,Bangalore",3,1500,1.3
3471,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3472,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3473,"Yadavanahalli,Bangalore",8,4800,1.1
3474,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3475,"Cheemasandra,Bangalore",3,920,0.8
3476,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3477,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3478,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3479,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3480,"Kada Agrahara ,Bangalore",2,1050,0.75
3481,"Mattanahalli,Bangalore",3,1450,0.79
3482,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3483,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3484,"Yadavanahalli,Bangalore",8,4800,1.1
3485,"Harapanahalli,Bangalore",4,6000,3.1
3486,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3487,"Cheemasandra,Bangalore",3,920,0.8
3488,"Hemmigepura,Bangalore",3,1500,1.3
3489,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3490,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3491,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3492,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3493,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3494,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3495,"Mavalli,Bangalore",10,8000,5.5
3496,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3497,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3498,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3499,"Hancharahalli Village,Bangalore",3,1900,1.1
3500,"Rajajinagar,Bangalore",7,5000,4.3
3501,"Mattanahalli,Bangalore",3,1450,0.79
3502,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3503,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3504,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3505,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3506,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3507,"Hemmigepura,Bangalore",3,1500,1.3
3508,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3509,"Mavalli,Bangalore",10,8000,5.5
3510,"Harapanahalli,Bangalore",4,6000,3.1
3511,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3512,"Cheemasandra,Bangalore",3,920,0.8
3513,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3514,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3515,"Yadavanahalli,Bangalore",8,4800,1.1
3516,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3517,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3518,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3519,"Margondanahalli,Bangalore",2,1000,1.2
3520,"Hancharahalli Village,Bangalore",3,1900,1.1
3521,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
3522,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
3523,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
3524,"Yelahanka,Bangalore",5,4000,6.6
3525,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
3526,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
3527,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
3528,"Rajajinagar,Bangalore",7,5000,4.3
3529,"Kada Agrahara ,Bangalore",2,1050,0.75
3530,"Kattigenahalli,Bangalore",2,3000,1.08
3531,"Mattanahalli,Bangalore",3,1450,0.79
3532,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
3533,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
3534,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
3535,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
3536,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
3537,"Hemmigepura,Bangalore",3,1500,1.3
3538,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
3539,"Mavalli,Bangalore",10,8000,5.5
3540,"Harapanahalli,Bangalore",4,6000,3.1
3541,"BEL, Vidyaranyapura,Bangalore",9,12321,9
3542,"Cheemasandra,Bangalore",3,920,0.8
3543,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
3544,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
3545,"Yadavanahalli,Bangalore",8,4800,1.1
3546,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
3547,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
3548,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
3549,"Margondanahalli,Bangalore",2,1000,1.2
3550,"Hancharahalli Village,Bangalore",3,1900,1.1
